,Topics,Types,Message Count,Frequency
0,/client_count,std_msgs/Int32,1,
1,/connected_clients,rosbridge_msgs/ConnectedClients,1,
2,/diagnostics,diagnostic_msgs/DiagnosticArray,1252,53.714593071652686
3,/fufi/amcl/parameter_descriptions,dynamic_reconfigure/ConfigDescription,1,
4,/fufi/amcl/parameter_updates,dynamic_reconfigure/Config,1,
5,/fufi/amcl_pose,geometry_msgs/PoseWithCovarianceStamped,25,1.1395423930530446
6,/fufi/arm/scaled_pos_traj_controller/follow_joint_trajectory/status,actionlib_msgs/GoalStatusArray,191,4.994125719252603
7,/fufi/arm/ur_hardware_interface/robot_mode,ur_dashboard_msgs/RobotMode,1,
8,/fufi/arm/ur_hardware_interface/robot_program_running,std_msgs/Bool,1,
9,/fufi/arm/ur_hardware_interface/safety_mode,ur_dashboard_msgs/SafetyMode,1,
10,/fufi/arm/ur_hardware_interface/set_mode/status,actionlib_msgs/GoalStatusArray,193,4.994943492396184
11,/fufi/battery_estimator/data,robotnik_msgs/BatteryStatus,193,4.999992847452859
12,/fufi/battery_estimator/data_stamped,robotnik_msgs/BatteryStatusStamped,190,5.000064373845145
13,/fufi/battery_estimator/state,robotnik_msgs/State,188,5.000088216430668
14,/fufi/camera_locator/alvar_markers,ar_track_alvar_msgs/AlvarMarkers,382,10.000653309585292
15,/fufi/camera_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,382,10.000319491103127
16,/fufi/camera_locator/objects,geometry_msgs/PoseArray,380,10.000772535872846
17,/fufi/camera_locator/state,robotnik_msgs/State,385,10.0009394574514
18,/fufi/camera_locator_pose_filter/state,robotnik_msgs/State,1892,50.00481651923031
19,/fufi/charge_manager/docking_status,robotnik_msgs/BatteryDockingStatusStamped,187,4.999983906797709
20,/fufi/charge_manager/state,robotnik_msgs/State,193,5.000097157458861
21,/fufi/charger_laser_locator/centroids,geometry_msgs/PoseArray,767,19.9996376103262
22,/fufi/charger_laser_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,757,20.00025749538058
