,Topics,Types,Message Count,Frequency
0,/client_count,std_msgs/Int32,1,
1,/connected_clients,rosbridge_msgs/ConnectedClients,1,
2,/diagnostics,diagnostic_msgs/DiagnosticArray,1182,40.75740702951151
3,/fufi/amcl/parameter_descriptions,dynamic_reconfigure/ConfigDescription,1,
4,/fufi/amcl/parameter_updates,dynamic_reconfigure/Config,1,
5,/fufi/amcl_pose,geometry_msgs/PoseWithCovarianceStamped,27,1.1426035606928733
6,/fufi/arm/scaled_pos_traj_controller/follow_joint_trajectory/status,actionlib_msgs/GoalStatusArray,180,4.994033550710056
7,/fufi/arm/ur_hardware_interface/robot_mode,ur_dashboard_msgs/RobotMode,1,
8,/fufi/arm/ur_hardware_interface/robot_program_running,std_msgs/Bool,1,
9,/fufi/arm/ur_hardware_interface/safety_mode,ur_dashboard_msgs/SafetyMode,1,
10,/fufi/arm/ur_hardware_interface/set_mode/status,actionlib_msgs/GoalStatusArray,184,4.995151695596511
11,/fufi/battery_estimator/data,robotnik_msgs/BatteryStatus,182,4.99990940258155
12,/fufi/battery_estimator/data_stamped,robotnik_msgs/BatteryStatusStamped,179,4.999924303247152
13,/fufi/battery_estimator/state,robotnik_msgs/State,176,5.000034570932998
14,/fufi/camera_locator/alvar_markers,ar_track_alvar_msgs/AlvarMarkers,361,9.999794964226025
15,/fufi/camera_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,361,9.999902249338097
16,/fufi/camera_locator/objects,geometry_msgs/PoseArray,358,9.999723442096881
17,/fufi/camera_locator/state,robotnik_msgs/State,364,10.00012874769029
18,/fufi/camera_locator_pose_filter/state,robotnik_msgs/State,1780,49.99885561701316
19,/fufi/charge_manager/docking_status,robotnik_msgs/BatteryDockingStatusStamped,177,4.999912382707565
20,/fufi/charge_manager/state,robotnik_msgs/State,183,4.999903442340176
21,/fufi/charger_laser_locator/centroids,geometry_msgs/PoseArray,726,19.9988747276221
22,/fufi/charger_laser_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,714,19.99782585892876
