,Topics,Types,Message Count,Frequency
0,/client_count,std_msgs/Int32,1,
1,/connected_clients,rosbridge_msgs/ConnectedClients,1,
2,/diagnostics,diagnostic_msgs/DiagnosticArray,1595,41.95457750881492
3,/fufi/amcl/parameter_descriptions,dynamic_reconfigure/ConfigDescription,1,
4,/fufi/amcl/parameter_updates,dynamic_reconfigure/Config,1,
5,/fufi/amcl_pose,geometry_msgs/PoseWithCovarianceStamped,28,0.8791923419806135
6,/fufi/arm/scaled_pos_traj_controller/follow_joint_trajectory/status,actionlib_msgs/GoalStatusArray,242,4.993837332241134
7,/fufi/arm/ur_hardware_interface/robot_mode,ur_dashboard_msgs/RobotMode,1,
8,/fufi/arm/ur_hardware_interface/robot_program_running,std_msgs/Bool,1,
9,/fufi/arm/ur_hardware_interface/safety_mode,ur_dashboard_msgs/SafetyMode,1,
10,/fufi/arm/ur_hardware_interface/set_mode/status,actionlib_msgs/GoalStatusArray,245,4.994741254477555
11,/fufi/battery_estimator/data,robotnik_msgs/BatteryStatus,244,5.000147823889294
12,/fufi/battery_estimator/data_stamped,robotnik_msgs/BatteryStatusStamped,242,5.00008225576297
13,/fufi/battery_estimator/state,robotnik_msgs/State,239,4.99998688701254
14,/fufi/camera_locator/alvar_markers,ar_track_alvar_msgs/AlvarMarkers,485,10.000534086140465
15,/fufi/camera_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,486,10.000748690387912
16,/fufi/camera_locator/objects,geometry_msgs/PoseArray,484,10.000748690387912
17,/fufi/camera_locator/state,robotnik_msgs/State,488,10.00070099975918
18,/fufi/camera_locator_pose_filter/state,robotnik_msgs/State,2407,50.000941771125774
19,/fufi/charge_manager/docking_status,robotnik_msgs/BatteryDockingStatusStamped,239,4.999903442340176
20,/fufi/charge_manager/state,robotnik_msgs/State,244,5.000010728859081
21,/fufi/charger_laser_locator/centroids,geometry_msgs/PoseArray,975,20.000591295557175
22,/fufi/charger_laser_locator/named_objects,robotnik_navigation_msgs/PoseStampedArray,964,19.99935152249168
